"TaxonConceptID";"lf_behn_2018"
7;"phanerophyte"
9;"phanerophyte"
18;"facultative_annual"
20;"facultative_annual"
21;"obligate_annual"
22;"chamaephyte"
25;"obligate_annual"
34;"tussock_plant"
35;"obligate_annual"
37;"obligate_annual"
42;"obligate_annual"
43;"obligate_annual"
57;"chamaephyte"
59;"obligate_annual"
60;"obligate_annual"
62;"acropleustophyte"
69;"obligate_annual"
71;"obligate_annual"
72;"obligate_annual"
77;"tussock_plant"
79;"obligate_annual"
85;"phanerophyte"
87;"phanerophyte"
88;"tussock_plant"
92;"climbing_plant"
106;"phanerophyte"
110;"reptant_plant"
111;"obligate_annual"
112;"acropleustophyte"
115;"obligate_annual"
116;"obligate_annual"
121;"tussock_plant"
125;"climbing_plant"
134;"obligate_annual"
139;"reptant_plant"
140;"tussock_plant"
141;"obligate_annual"
142;"chamaephyte"
143;"facultative_annual"
144;"obligate_annual"
145;"obligate_annual"
153;"obligate_annual"
155;"obligate_annual"
163;"obligate_annual"
164;"tussock_plant"
174;"obligate_annual"
176;"obligate_annual"
191;"reptant_plant"
192;"facultative_annual"
194;"obligate_annual"
195;"tussock_plant"
196;"facultative_annual"
197;"reed_plant"
198;"facultative_annual"
200;"reed_plant"
201;"obligate_annual"
204;"reed_plant"
206;"reed_plant"
209;"reptant_plant"
211;"reed_plant"
217;"obligate_annual"
220;"reptant_plant"
222;"reptant_plant"
224;"obligate_annual"
228;"obligate_annual"
233;"obligate_annual"
235;"obligate_annual"
236;"reed_plant"
239;"pleustohelophyte"
240;"obligate_annual"
242;"tussock_plant"
245;"obligate_annual"
246;"facultative_annual"
253;"obligate_annual"
259;"obligate_annual"
264;"obligate_annual"
268;"phanerophyte"
272;"obligate_annual"
276;"obligate_annual"
277;"obligate_annual"
278;"phanerophyte"
279;"phanerophyte"
281;"obligate_annual"
282;"facultative_annual"
283;"phanerophyte"
284;"reed_plant"
285;"obligate_annual"
286;"obligate_annual"
297;"obligate_annual"
302;"tussock_plant"
305;"obligate_annual"
307;"tussock_plant"
311;"climbing_plant"
312;"obligate_annual"
313;"chamaephyte"
317;"reptant_plant"
319;"obligate_annual"
320;"tussock_plant"
322;"obligate_annual"
323;"chamaephyte"
324;"chamaephyte"
327;"obligate_annual"
328;"tussock_plant"
329;"climbing_plant"
334;"obligate_annual"
336;"climbing_plant"
338;"obligate_annual"
341;"phanerophyte"
346;"tussock_plant"
347;"tussock_plant"
349;"tussock_plant"
350;"facultative_annual"
354;"phanerophyte"
355;"tussock_plant"
356;"reptant_plant"
359;"obligate_annual"
361;"facultative_annual"
363;"pleustohelophyte"
365;"tussock_plant"
366;"tussock_plant"
369;"obligate_annual"
371;"facultative_annual"
376;"chamaephyte"
378;"acropleustophyte"
379;"climbing_plant"
381;"obligate_annual"
383;"phanerophyte"
384;"tussock_plant"
385;"obligate_annual"
391;"climbing_plant"
392;"climbing_plant"
395;"pleustohelophyte"
398;"acropleustophyte"
405;"reed_plant"
406;"obligate_annual"
407;"obligate_annual"
409;"obligate_annual"
411;"tussock_plant"
414;"obligate_annual"
415;"obligate_annual"
416;"tussock_plant"
417;"reptant_plant"
418;"tussock_plant"
419;"reptant_plant"
420;"reptant_plant"
421;"reptant_plant"
427;"reed_plant"
428;"obligate_annual"
430;"tussock_plant"
432;"pleustohelophyte"
433;"tussock_plant"
436;"phanerophyte"
439;"obligate_annual"
441;"obligate_annual"
445;"facultative_annual"
447;"acropleustophyte"
450;"phanerophyte"
453;"chamaephyte"
455;"tussock_plant"
458;"obligate_annual"
462;"obligate_annual"
464;"phanerophyte"
468;"tussock_plant"
470;"climbing_plant"
473;"phanerophyte"
476;"obligate_annual"
480;"obligate_annual"
487;"tussock_plant"
493;"tussock_plant"
496;"obligate_annual"
497;"obligate_annual"
498;"obligate_annual"
499;"obligate_annual"
501;"tussock_plant"
505;"chamaephyte"
506;"obligate_annual"
507;"chamaephyte"
513;"obligate_annual"
516;"obligate_annual"
518;"tussock_plant"
522;"obligate_annual"
525;"obligate_annual"
527;"tussock_plant"
528;"obligate_annual"
530;"pleustohelophyte"
532;"tussock_plant"
536;"obligate_annual"
537;"obligate_annual"
538;"obligate_annual"
543;"obligate_annual"
548;"chamaephyte"
552;"chamaephyte"
553;"obligate_annual"
556;"obligate_annual"
557;"obligate_annual"
563;"reptant_plant"
564;"reptant_plant"
565;"reptant_plant"
568;"chamaephyte"
569;"phanerophyte"
575;"tussock_plant"
580;"obligate_annual"
584;"phanerophyte"
587;"obligate_annual"
590;"obligate_annual"
598;"climbing_plant"
599;"climbing_plant"
600;"pleustohelophyte"
603;"climbing_plant"
50067;"obligate_annual"
50069;"obligate_annual"
50073;"tussock_plant"
50074;"chamaephyte"
50075;"climbing_plant"
50076;"tussock_plant"
50079;"obligate_annual"
50080;"obligate_annual"
50081;"obligate_annual"
50089;"obligate_annual"
50094;"facultative_annual"
50096;"tussock_plant"
50103;"obligate_annual"
50105;"reed_plant"
50107;"acropleustophyte"
50111;"tussock_plant"
50112;"tussock_plant"
50119;"acropleustophyte"
50120;"obligate_annual"
50121;"reptant_plant"
50124;"obligate_annual"
50127;"tussock_plant"
50135;"climbing_plant"
50142;"tussock_plant"
50146;"facultative_annual"
50147;"obligate_annual"
50151;"tussock_plant"
50174;"tussock_plant"
50264;"climbing_plant"
50293;"climbing_plant"
50400;"tussock_plant"
50423;"phanerophyte"
50591;"reptant_plant"
50609;"phanerophyte"
50631;"chamaephyte"
50771;"facultative_annual"
50890;"chamaephyte"
50990;"pleustohelophyte"
51076;"tussock_plant"
51334;"obligate_annual"
51372;"phanerophyte"
51392;"tussock_plant"
51432;"chamaephyte"
51442;"climbing_plant"
51467;"climbing_plant"
51517;"obligate_annual"
51524;"climbing_plant"
51554;"facultative_annual"
51638;"tussock_plant"
51757;"tussock_plant"
51762;"phanerophyte"
51778;"chamaephyte"
51949;"pleustohelophyte"
51951;"reed_plant"
51955;"reed_plant"
51956;"facultative_annual"
51960;"tussock_plant"
51963;"obligate_annual"
51964;"obligate_annual"
51965;"obligate_annual"
51966;"obligate_annual"
51971;"obligate_annual"
51973;"obligate_annual"
51975;"phanerophyte"
51979;"obligate_annual"
51981;"chamaephyte"
51982;"chamaephyte"
51984;"tussock_plant"
51987;"climbing_plant"
51995;"reptant_plant"
51996;"reed_plant"
52124;"climbing_plant"
52155;"chamaephyte"
52193;"chamaephyte"
52197;"facultative_annual"
52199;"obligate_annual"
52247;"obligate_annual"
52249;"obligate_annual"
52250;"climbing_plant"
52259;"chamaephyte"
52262;"climbing_plant"
52286;"phanerophyte"
52309;"climbing_plant"
52322;"phanerophyte"
52331;"acropleustophyte"
52354;"reed_plant"
52357;"obligate_annual"
52378;"obligate_annual"
52385;"obligate_annual"
52401;"phanerophyte"
52431;"obligate_annual"
53366;"obligate_annual"
53398;"tussock_plant"
53411;"climbing_plant"
53414;"obligate_annual"
53427;"facultative_annual"
53443;"facultative_annual"
53454;"reptant_plant"
53497;"tussock_plant"
53517;"chamaephyte"
53522;"chamaephyte"
53549;"tussock_plant"
